Cyan,0,174,239,process
Magenta,236,0,140,process
Yellow,255,242,0,process
Black,35,31,32,process
PANTONE 3514 C,246,183,0,spot
PANTONE 3596 C,222,188,139,spot
PANTONE 3547 C,197,144,20,spot
PANTONE 3588 C,255,148,37,spot
PANTONE 3564 C,239,106,0,spot
PANTONE 2428 C,221,135,44,spot
PANTONE 2429 C,194,94,28,spot
PANTONE 2430 C,215,161,121,spot
PANTONE 2431 C,222,146,82,spot
PANTONE 2432 C,221,140,89,spot
PANTONE 2433 C,219,122,81,spot
PANTONE 2434 C,227,119,94,spot
PANTONE 2435 C,193,111,88,spot
PANTONE 2436 C,182,82,61,spot
PANTONE 2437 C,241,191,159,spot
PANTONE 2438 C,227,161,132,spot
PANTONE 2439 C,196,133,113,spot
PANTONE 2440 C,180,146,137,spot
PANTONE 2441 C,167,110,94,spot
PANTONE 2442 C,159,95,83,spot
PANTONE 2443 C,141,57,33,spot
PANTONE 3544 C,223,184,167,spot
PANTONE 2444 C,220,165,156,spot
PANTONE 3519 C,225,166,173,spot
PANTONE 3572 C,255,157,162,spot
PANTONE 2445 C,221,135,141,spot
PANTONE 2446 C,208,133,138,spot
PANTONE 2447 C,176,111,118,spot
PANTONE 2448 C,218,98,83,spot
PANTONE 3556 C,238,56,49,spot
PANTONE 3516 C,220,53,19,spot
PANTONE 3546 C,205,0,26,spot
PANTONE 3517 C,193,0,22,spot
PANTONE 3523 C,116,46,52,spot
PANTONE 2449 C,71,36,38,spot
PANTONE 3568 C,240,200,217,spot
PANTONE 3595 C,241,188,213,spot
PANTONE 2450 C,214,67,136,spot
PANTONE 3527 C,213,65,158,spot
PANTONE 3582 C,209,115,166,spot
PANTONE 2451 C,183,66,113,spot
PANTONE 2452 C,194,54,111,spot
PANTONE 2453 C,184,150,195,spot
PANTONE 3520 C,178,123,196,spot
PANTONE 3559 C,142,81,168,spot
PANTONE 3593 C,155,110,182,spot
PANTONE 3575 C,150,114,196,spot
PANTONE 3543 C,164,141,209,spot
PANTONE 3515 C,97,0,125,spot
PANTONE 3558 C,145,156,212,spot
PANTONE 3555 C,81,33,121,spot
PANTONE 3583 C,81,30,132,spot
PANTONE 3574 C,92,69,128,spot
PANTONE 3566 C,71,43,116,spot
PANTONE 3535 C,64,1,134,spot
PANTONE 3542 C,49,19,124,spot
PANTONE 3506 C,25,97,174,spot
PANTONE 3590 C,60,87,161,spot
PANTONE 3584 C,46,62,128,spot
PANTONE 3591 C,3,37,126,spot
PANTONE 3597 C,28,55,117,spot
PANTONE 3581 C,34,50,110,spot
PANTONE 3524 C,47,41,81,spot
PANTONE 3577 C,138,186,221,spot
PANTONE 3545 C,0,188,225,spot
PANTONE 3551 C,0,166,200,spot
PANTONE 3538 C,0,148,213,spot
PANTONE 3553 C,0,110,179,spot
PANTONE 2454 C,39,125,161,spot
PANTONE 3526 C,122,147,156,spot
PANTONE 2455 C,146,188,179,spot
PANTONE 3533 C,105,219,200,spot
PANTONE 3534 C,0,178,162,spot
PANTONE 2456 C,48,155,138,spot
PANTONE 3560 C,0,164,151,spot
PANTONE 3557 C,0,124,128,spot
PANTONE 3541 C,0,147,157,spot
PANTONE 2457 C,139,170,153,spot
PANTONE 2458 C,104,152,129,spot
PANTONE 2459 C,85,175,146,spot
PANTONE 2460 C,106,174,170,spot
PANTONE 2461 C,37,148,144,spot
PANTONE 2462 C,90,141,132,spot
PANTONE 2463 C,91,117,112,spot
PANTONE 2464 C,120,189,112,spot
PANTONE 2465 C,29,110,47,spot
PANTONE 3522 C,0,137,47,spot
PANTONE 3536 C,0,119,55,spot
PANTONE 3500 C,0,110,51,spot
PANTONE 3537 C,0,73,30,spot
PANTONE 2466 C,41,80,77,spot
PANTONE 3570 C,177,214,0,spot
PANTONE 3507 C,174,208,0,spot
PANTONE 3561 C,121,195,0,spot
PANTONE 3501 C,76,174,4,spot
PANTONE 3529 C,31,168,36,spot
PANTONE 3539 C,62,154,44,spot
PANTONE 3508 C,94,121,48,spot
PANTONE 3599 C,218,194,135,spot
PANTONE 2467 C,183,145,108,spot
PANTONE 2468 C,151,105,76,spot
PANTONE 2469 C,143,87,58,spot
PANTONE 2470 C,154,127,97,spot
PANTONE 2471 C,165,136,118,spot
PANTONE 2472 C,95,64,40,spot
PANTONE 2473 C,195,183,188,spot
PANTONE 2474 C,176,160,152,spot
PANTONE 2475 C,160,134,127,spot
PANTONE 2476 C,130,107,105,spot
PANTONE 2477 C,112,88,83,spot
PANTONE 2478 C,75,53,58,spot
PANTONE 2479 C,62,51,46,spot
PANTONE Yellow C,254,221,0,spot
PANTONE Yellow 012 C,255,215,0,spot
PANTONE Orange 021 C,254,80,0,spot
PANTONE Bright Red C,249,56,34,spot
PANTONE Warm Red C,249,66,58,spot
PANTONE Red 032 C,239,51,64,spot
PANTONE Rubine Red C,206,0,88,spot
PANTONE Rhodamine Red C,225,0,152,spot
PANTONE Pink C,214,37,152,spot
PANTONE Purple C,187,41,187,spot
PANTONE Medium Purple C,78,0,142,spot
PANTONE Violet C,68,0,153,spot
PANTONE Blue 072 C,16,6,159,spot
PANTONE Dark Blue C,0,35,156,spot
PANTONE Reflex Blue C,0,20,137,spot
PANTONE Process Blue C,0,133,202,spot
PANTONE Green C,0,171,132,spot
PANTONE Black C,45,41,38,spot
PANTONE Yellow 0131 C,242,240,161,spot
PANTONE Red 0331 C,252,174,187,spot
PANTONE Magenta 0521 C,241,178,220,spot
PANTONE Violet 0631 C,191,155,222,spot
PANTONE Blue 0821 C,116,209,234,spot
PANTONE Green 0921 C,157,231,215,spot
PANTONE Black 0961 C,158,151,142,spot
PANTONE 801 C,0,154,206,spot
PANTONE 802 C,68,214,44,spot
PANTONE 803 C,255,233,0,spot
PANTONE 804 C,255,170,77,spot
PANTONE 805 C,255,114,118,spot
PANTONE 806 C,255,62,181,spot
PANTONE 807 C,234,39,194,spot
PANTONE 871 C,132,117,78,spot
PANTONE 872 C,133,113,77,spot
PANTONE 873 C,134,109,75,spot
PANTONE 874 C,139,111,78,spot
PANTONE 875 C,135,103,79,spot
PANTONE 876 C,139,99,75,spot
PANTONE 877 C,138,141,143,spot
PANTONE 100 C,246,235,97,spot
PANTONE 101 C,247,234,72,spot
PANTONE 102 C,252,227,0,spot
PANTONE Yellow C,254,221,0,spot
PANTONE 103 C,197,169,0,spot
PANTONE 104 C,175,152,0,spot
PANTONE 105 C,137,122,39,spot
PANTONE 7401 C,245,225,164,spot
PANTONE 7402 C,236,216,152,spot
PANTONE 7403 C,238,212,132,spot
PANTONE 7404 C,244,218,64,spot
PANTONE 7405 C,242,205,0,spot
PANTONE 7406 C,241,196,0,spot
PANTONE 7407 C,203,160,82,spot
PANTONE 2001 C,248,229,154,spot
PANTONE 2002 C,249,225,125,spot
PANTONE 2003 C,249,226,103,spot
PANTONE 2004 C,251,221,122,spot
PANTONE 2005 C,254,216,128,spot
PANTONE 2006 C,235,188,78,spot
PANTONE 2007 C,224,165,38,spot
PANTONE 106 C,249,229,71,spot
PANTONE 107 C,251,225,34,spot
PANTONE 108 C,254,219,0,spot
PANTONE 109 C,255,209,0,spot
PANTONE 110 C,218,170,0,spot
PANTONE 111 C,170,138,0,spot
PANTONE 112 C,156,132,18,spot
PANTONE 113 C,250,224,83,spot
PANTONE 114 C,251,221,64,spot
PANTONE 115 C,253,218,36,spot
PANTONE 116 C,255,205,0,spot
PANTONE 117 C,201,151,0,spot
PANTONE 118 C,172,132,0,spot
PANTONE 119 C,137,115,34,spot
PANTONE 127 C,243,221,109,spot
PANTONE 128 C,243,213,78,spot
PANTONE 129 C,243,208,62,spot
PANTONE 130 C,242,169,0,spot
PANTONE 131 C,204,138,0,spot
PANTONE 132 C,160,116,0,spot
PANTONE 133 C,108,87,27,spot
PANTONE 1205 C,248,224,142,spot
PANTONE 1215 C,251,216,114,spot
PANTONE 1225 C,255,200,69,spot
PANTONE 1235 C,255,184,28,spot
PANTONE 1245 C,198,146,20,spot
PANTONE 1255 C,173,132,31,spot
PANTONE 1265 C,136,107,37,spot
PANTONE 120 C,251,219,101,spot
PANTONE 121 C,253,215,87,spot
PANTONE 122 C,254,209,65,spot
PANTONE 123 C,255,199,44,spot
PANTONE 124 C,234,170,0,spot
PANTONE 125 C,181,133,0,spot
PANTONE 126 C,154,118,17,spot
PANTONE 7548 C,255,198,0,spot
PANTONE 7549 C,255,181,0,spot
PANTONE 7550 C,209,144,0,spot
PANTONE 7551 C,180,126,0,spot
PANTONE 7552 C,115,83,29,spot
PANTONE 7553 C,90,69,34,spot
PANTONE 7554 C,75,61,42,spot
PANTONE 7555 C,210,159,19,spot
PANTONE 7556 C,183,139,32,spot
PANTONE 7557 C,159,125,35,spot
PANTONE 7558 C,150,113,38,spot
PANTONE 7559 C,143,106,42,spot
PANTONE 7560 C,125,98,46,spot
PANTONE 7561 C,108,93,52,spot
PANTONE 134 C,253,210,110,spot
PANTONE 135 C,255,198,88,spot
PANTONE 136 C,255,191,63,spot
PANTONE 137 C,255,163,0,spot
PANTONE 138 C,222,124,0,spot
PANTONE 139 C,175,109,4,spot
PANTONE 140 C,116,83,28,spot
PANTONE 2008 C,239,192,110,spot
PANTONE 2009 C,239,182,97,spot
PANTONE 2010 C,255,173,0,spot
PANTONE 2011 C,237,155,51,spot
PANTONE 2012 C,239,150,0,spot
PANTONE 2013 C,255,152,0,spot
PANTONE 2014 C,185,112,0,spot
PANTONE 1345 C,253,208,134,spot
PANTONE 1355 C,255,197,110,spot
PANTONE 1365 C,255,181,73,spot
PANTONE 1375 C,255,158,27,spot
PANTONE 1385 C,213,120,0,spot
PANTONE 1395 C,153,96,23,spot
PANTONE 1405 C,110,76,30,spot
PANTONE 141 C,242,199,92,spot
PANTONE 142 C,241,190,72,spot
PANTONE 143 C,241,180,52,spot
PANTONE 144 C,237,139,0,spot
PANTONE 145 C,207,127,0,spot
PANTONE 146 C,167,109,17,spot
PANTONE 147 C,113,92,42,spot
PANTONE 7408 C,246,190,0,spot
PANTONE 7409 C,240,179,35,spot
PANTONE 7410 C,254,173,119,spot
PANTONE 7411 C,230,166,93,spot
PANTONE 7412 C,211,130,53,spot
PANTONE 7413 C,220,134,51,spot
PANTONE 7414 C,193,108,24,spot
PANTONE 7562 C,189,155,96,spot
PANTONE 7563 C,214,154,45,spot
PANTONE 7564 C,219,138,6,spot
PANTONE 7565 C,205,121,37,spot
PANTONE 7566 C,173,100,51,spot
PANTONE 7567 C,137,83,47,spot
PANTONE 7568 C,119,81,53,spot
PANTONE 7569 C,215,136,37,spot
PANTONE 7570 C,211,131,43,spot
PANTONE 7571 C,198,125,48,spot
PANTONE 7572 C,182,114,51,spot
PANTONE 7573 C,167,102,43,spot
PANTONE 7574 C,158,106,56,spot
PANTONE 7575 C,131,93,50,spot
PANTONE 712 C,252,200,155,spot
PANTONE 713 C,253,190,135,spot
PANTONE 714 C,253,170,99,spot
PANTONE 715 C,246,141,46,spot
PANTONE 716 C,234,118,0,spot
PANTONE 717 C,212,93,0,spot
PANTONE 718 C,190,77,0,spot
PANTONE 2015 C,248,207,169,spot
PANTONE 2016 C,255,182,115,spot
PANTONE 2017 C,248,173,109,spot
PANTONE 2018 C,255,117,0,spot
PANTONE 2019 C,215,107,0,spot
PANTONE 2020 C,190,84,0,spot
PANTONE 2021 C,157,72,21,spot
PANTONE 148 C,254,203,139,spot
PANTONE 149 C,255,194,123,spot
PANTONE 150 C,255,178,91,spot
PANTONE 151 C,255,130,0,spot
PANTONE 152 C,229,114,0,spot
PANTONE 153 C,190,106,20,spot
PANTONE 154 C,155,90,26,spot
PANTONE 155 C,239,209,159,spot
PANTONE 156 C,239,190,125,spot
PANTONE 157 C,236,161,84,spot
PANTONE 158 C,232,119,34,spot
PANTONE 159 C,203,96,21,spot
PANTONE 160 C,161,86,28,spot
PANTONE 161 C,96,61,32,spot
PANTONE 1485 C,255,174,98,spot
PANTONE 1495 C,255,143,28,spot
PANTONE 1505 C,255,105,0,spot
PANTONE Orange 021 C,254,80,0,spot
PANTONE 1525 C,185,71,0,spot
PANTONE 1535 C,148,69,11,spot
PANTONE 1545 C,101,56,25,spot
PANTONE 1555 C,255,185,144,spot
PANTONE 1565 C,255,160,106,spot
PANTONE 1575 C,255,127,50,spot
PANTONE 1585 C,255,106,19,spot
PANTONE 1595 C,216,96,24,spot
PANTONE 1605 C,166,85,35,spot
PANTONE 1615 C,139,71,32,spot
PANTONE 2022 C,250,170,141,spot
PANTONE 2023 C,250,147,112,spot
PANTONE 2024 C,248,124,86,spot
PANTONE 2025 C,255,138,61,spot
PANTONE 2026 C,244,99,58,spot
PANTONE 2027 C,238,83,64,spot
PANTONE 2028 C,235,51,0,spot
PANTONE 162 C,255,190,159,spot
PANTONE 163 C,255,157,110,spot
PANTONE 164 C,255,127,65,spot
PANTONE 165 C,255,103,31,spot
PANTONE 166 C,227,82,5,spot
PANTONE 167 C,190,83,28,spot
PANTONE 168 C,115,56,29,spot
PANTONE 7576 C,219,134,78,spot
PANTONE 7577 C,224,126,60,spot
PANTONE 7578 C,220,107,47,spot
PANTONE 7579 C,220,88,42,spot
PANTONE 7580 C,192,81,49,spot
PANTONE 7581 C,134,74,51,spot
PANTONE 7582 C,103,71,54,spot
PANTONE 1625 C,255,163,139,spot
PANTONE 1635 C,255,141,109,spot
PANTONE 1645 C,255,106,57,spot
PANTONE 1655 C,252,76,2,spot
PANTONE 1665 C,220,68,5,spot
PANTONE 1675 C,169,67,30,spot
PANTONE 1685 C,131,57,33,spot
PANTONE 169 C,255,179,171,spot
PANTONE 170 C,255,134,116,spot
PANTONE 171 C,255,92,57,spot
PANTONE 172 C,250,70,22,spot
PANTONE 173 C,207,69,32,spot
PANTONE 174 C,150,56,33,spot
PANTONE 175 C,107,53,41,spot
PANTONE 7583 C,196,98,45,spot
PANTONE 7584 C,186,88,38,spot
PANTONE 7585 C,175,92,55,spot
PANTONE 7586 C,158,83,48,spot
PANTONE 7587 C,146,76,46,spot
PANTONE 7588 C,123,77,53,spot
PANTONE 7589 C,92,71,56,spot
PANTONE 7590 C,212,181,158,spot
PANTONE 7591 C,192,125,89,spot
PANTONE 7592 C,177,85,51,spot
PANTONE 7593 C,157,67,44,spot
PANTONE 7594 C,124,58,45,spot
PANTONE 7595 C,107,61,46,spot
PANTONE 7596 C,92,61,49,spot
PANTONE 7597 C,209,65,36,spot
PANTONE 7598 C,189,71,42,spot
PANTONE 7599 C,179,61,38,spot
PANTONE 7600 C,141,63,43,spot
PANTONE 7601 C,131,65,44,spot
PANTONE 7602 C,123,73,49,spot
PANTONE 7603 C,103,66,48,spot
PANTONE 7604 C,228,213,211,spot
PANTONE 7605 C,225,187,180,spot
PANTONE 7606 C,214,147,138,spot
PANTONE 7607 C,194,110,96,spot
PANTONE 7608 C,164,73,61,spot
PANTONE 7609 C,130,59,52,spot
PANTONE 7610 C,104,52,49,spot
PANTONE 2337 C,248,193,184,spot
PANTONE 2338 C,222,163,156,spot
PANTONE 2339 C,240,148,145,spot
PANTONE 2340 C,207,111,119,spot
PANTONE 2341 C,182,108,109,spot
PANTONE 2342 C,182,90,101,spot
PANTONE 2343 C,168,85,102,spot
PANTONE 7611 C,221,188,176,spot
PANTONE 7612 C,202,154,142,spot
PANTONE 7613 C,188,138,126,spot
PANTONE 7614 C,163,127,116,spot
PANTONE 7615 C,134,103,97,spot
PANTONE 7616 C,107,76,76,spot
PANTONE 7617 C,88,61,62,spot
PANTONE 7520 C,234,190,176,spot
PANTONE 7521 C,192,156,131,spot
PANTONE 7522 C,180,106,85,spot
PANTONE 7523 C,171,92,87,spot
PANTONE 7524 C,164,82,72,spot
